Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
0.0,Flat,10000000.0,G-10,Islamabad,2.0,For Sale,2.0,4.0
1.0,Flat,twenty,E-11,Islamabad,3.0,For Sale,3.0,5.6
2.0,House,16500000.0,  G-15  ,Islamabad,6.0,For Sale,5.0,8.0
3.0,*House*,43500000.0,Bani Gala,[Islamabad],4.0,For Sale,4.0,-1115.5
4.0,House,7000000.0,DHA Defence,Islamabad,3.0,For Sale,60.0,8.0
7.0,Flat,7800000.0,E-11,Islamabad,2.0,For Sale,2.0,6.2
9.0,  Penthouse  ,40000000.0, F-11,Islamabad,5.0,FOR SALE,5.0,20.0
-84222.5,Flat,35000000.0,ZIA COLONY ,Islamabad,3.0, For Rent ,3.0,7.1
1684450.0,Flat,13500000.0,DHA Defence,Islamabad,5.0,For Sale,3.0,10.0
14.0,Flat,3600000.0,  E-11  ,Islamabad,1.0,For Sale,1.0,3.1
15.0,Flat,treinta y dos,E-11,Islamabad,2.0, For Rent ,60.0,4.0
16.0,House,19000000.0,MANGA MANDI,Islamabad,3.0,For Sale,60.0,-97.0
18.0,Penthouse ,26900000.0,B-17,Islamabad,-3.5,For Sale,6.0,20.0
-84222.5,House,-22450000.0,Bhara kahu,Islamabad,3.0,For Sale,3.0,5.0
24.0,House,4500000.0,Garden Town,Islamabad,4.0,For Sale,4.0,4.7
25.0,House,6800000.0,Koral Town,Islamabad,70.0,For Sale,4.0,4.0
26.0,House,-22450000.0,Soan Garden,Islamabad,5.0,For Sale,6.0,12.0
27.0,Flat,19400000.0,	IEP Engineers Town 	,Islamabad,1.0,For Sale,1.0,4.3
29.0,Flat,8000000.0,G-11,Islamabad,2.0,For Sale,2.0,6.7
1684450.0,Flat,-258175000.0,E-11,Islamabad,70.0,FOR RENT,3.0,5.3
-84222.5,House,4500000.0,Ghauri Town,Islamabad,3.0,For Sale,2.0,5.0
-968558.75,House,12500000.0,I-16,Islamabad,5.0,For Sale,6.0,8.0
35.0,LOWER PORTION,449000000.0,DHA Defence,Islamabad,5.0,  For Rent  ,5.0,20.0
36.0,House,,F-7,Islamabad,6.0,For Rent,6.0,40.0
37.0, Farm House,33000.0,	G-15	,Islamabad,2.0,For Rent,2.0,8.0
38.0,Room ,45000.0,Pakistan Town,Islamabad,5.0,FOR RENT,3.0,24.0
40.0,  House  ,-22450000.0,F-7,Islamabad,4.0,For Rent,4.0,13.3
41.0,Lower Portion,17000.0,Islamabad Expressway,Islamabad,2.0,For Rent,2.0,5.0
44.0,Lower Portion,200000.0,F-6,Islamabad,3.0,For Rent,3.0,16.0
46.0,Lower Portion,60000.0,G-8,Lahore ,2.0,For Rent,2.0,9.3
n/a,	House	,40000000.0,  Multan Road  ,Lahore,70.0,For Sale,5.0,20.0
51.0, House,21000000.0,Allama Iqbal Town,Lahore,5.0,For Sale,6.0,11.0
53.0,House,-22450000.0,tulspura,Lahore,7.0,*For Sale*,6.0,2204.83
57.0,House,13500000.0,NULL,rawalpindi,4.0,  For Sale  ,4.0,7.5
61.0,House,23500000.0,Askari,Lahore,4.0,For Rent ,4.0,-97.0
62.0,House,22500000.0,Bedian Road,Lahore,4.0,For Sale,4.0,20.0
64.0,House,39500000.0,Gulberg,Lahore,6.0,For Sale,6.0,five point two
-84222.5,ROOM,veinte,N/A	,Lahore,5.0,For Sale,-3.0,12.0
66.0,House,40000000.0,Chaman Park,  Lahore  ,3.0,For Sale ,6.0,11.0
68.0,House,3200000.0,Chungi Amar Sadhu,	Lahore	,2.0,For Sale,-3.0,3.0
69.0,House,21200000.0,Askari,Lahore,4.0,For Sale,3.0,10.0
70.0,House,449000000.0,-,Lahore,5.0,For Sale,4.0,10.0
71.0,House,21500000.0,Askari,Karachi ,5.0,For Sale,4.0,nueve
1663557.62,House,21500000.0,Askari,Lahore,5.0,For Sale,4.0,10.0
73.0,House,40000000.0, Al-Kareem Premier Housing Scheme ,Lahore,6.0,For Sale,5.0,20.0
74.0,House,26000000.0,Askari,Lahore,5.0,For Sale,4.0,10.0
75.0,House,21000000.0,*Askari*,Lahore,68.9,For Sale,4.0,-97.0
76.0,House,23000000.0,Askari,Lahore,5.0,For Sale,4.0,10.0
77.0,House,23000000.0,Askari,Lahore,6.0,For Sale,5.0,10.0
80.0,House,5500000.0,Karim Park,  Lahore  ,3.0,For Sale,3.0,2.5
82.0,House,12000000.0,Cantt,Lahore,6.0,For Sale,6.0,-1115.5
87.0,House,12000000.0,Al-Raheem Garden,Lahore,5.0,For Sale,60.0,6.0
88.0,House,40000000.0,EME Society,Lahore,7.0,For Sale,6.0,20.0
90.0, Room ,17000000.0,Mateen Avenue,Lahore,6.0, For Rent ,5.0,9.7
92.0,House,449000000.0,  Paragon City  ,-,5.0,For Sale,5.0,10.0
93.0,House,25000000.0,Sitara Valley ,Lahore,5.0,For Sale,4.0,18.0
94.0,House,8500000.0,Muslim Town,Faisalabad	,5.0,For Sale,60.0,5.0
95.0,House,25000000.0,Millat Town,Faisalabad,6.0,For Sale,5.0,24.0
96.0,House,6000000.0,Raza Abad,Faisalabad,2.0,For Sale,4.0,2.5
98.0,House,13500000.0,Humak,RAWALPINDI,4.0,For Sale,5.0,five point two
1684450.0,House,23000000.0,Bahria Town Rawalpindi,Rawalpindi,-3.5,for rent,6.0,10.0
101.0,House,9990000.0,Gulshan Abad,Rawalpindi,2.0,For Sale,-34.5,10.0
-968558.75,House,22500000.0,Media Town,Rawalpindi,5.0,For Sale,5.0,12.0
104.0,House,9000000.0,	Bahria Town Rawalpindi	,Rawalpindi,4.0,For Sale,3.0,5.0
107.0,House,23000000.0,Bahria Town Rawalpindi,Rawalpindi,6.0,For Sale,5.0,12.0
108.0,House,39500000.0,Bahria Town Rawalpindi,Rawalpindi,7.0,For Sale,6.0,20.0
109.0,House,21000000.0,Bahria Town Rawalpindi,Rawalpindi,7.0,For Sale,5.0,10.0
110.0,House,37000000.0,Bahria Town Rawalpindi,Rawalpindi,-3.5,For Sale,5.0,20.0
111.0,House,37000000.0,Bahria Town Rawalpindi,Rawalpindi,7.0,For Sale,veinte,20.0
112.0,House,37500000.0,Jati Umra Road ,Rawalpindi,7.0,For Sale,5.0,20.0
113.0,Flat,4800000.0,Bahria Town Rawalpindi	,Rawalpindi,70.0,For Sale,1.0,3.8
-84222.5,House,35000000.0,-,Rawalpindi,5.0,For Sale,5.0,20.0
115.0,Penthouse,25000000.0,Bahria Town Rawalpindi,	Rawalpindi	,4.0,For Sale,4.0,10.0
116.0,Flat,-,Bahria Town Rawalpindi,Rawalpindi,2.0,For Sale,2.0,5.5
117.0, Lower Portion ,12800000.0,Afshan Colony ,Rawalpindi,-3.5,For Sale,veinte,7.0
118.0,House,5000000.0,Chakri Road,  Rawalpindi  ,5.0,For Sale,6.0,5.0
119.0,House,22000000.0,Bahria Town Rawalpindi,Rawalpindi,6.0, For Rent,5.0,10.0
120.0,House,38000000.0,Bahria Town Rawalpindi,Rawalpindi,7.0,For Sale,6.0,20.0
121.0,House,428244971.59,Askari 14,Rawalpindi,4.0,For Sale,4.0,10.0
122.0,House,25000000.0,Askari 13,Rawalpindi,nueve,For Sale,4.0,10.0
123.0,House,30000000.0,Askari 12,Rawalpindi,6.0,For Sale,4.0,10.0
124.0,House,23000000.0,Askari 13,Rawalpindi,5.0,For Sale,4.0,10.0
126.0,House,32000000.0,rajpoot town,Rawalpindi,5.0,For Sale,5.0,1940.0
128.0,House,25000000.0,Askari 13,Rawalpindi,6.0,For Sale,5.0,10.0
129.0,House,6000000.0,Bahria Town Rawalpindi,Rawalpindi,2.0, For Rent ,2.0,5.0
131.0,House,28000000.0,shahpur kanjra,Rawalpindi,5.0,For Sale,5.0,10.0
