Scenario_Type,Time_Limit,Stress_Level,Decision_Taken,Decision_Quality,Age,Experience_Level,Heart_Rate,Decision_Time_Taken
Exam,23,Medium,Panic Reaction,Low,39,Expert,75,10
Emergency,25,High,Hesitation,Medium,25,Intermediate,79,6
Emergency,14,High,Guess Answer,High,31,Beginner,93,7
Interview,42,Low,Logical Answer,Medium,31,Beginner,139,33
Interview,25,Low,Hesitation,Medium,26,Expert,109,21
Emergency,41,Low,Guess Answer,Low,31,Intermediate,92,33
Emergency,20,High,Quick Decision,Low,32,Intermediate,105,15
Interview,30,Low,Hesitation,High,39,Beginner,139,15
Emergency,20,Very High,Guess Answer,High,28,Beginner,119,6
Emergency,42,Medium,Hesitation,Medium,26,Beginner,103,39
Emergency,45,Very High,Panic Reaction,Medium,34,Expert,104,36
Interview,42,High,Call for Help,Medium,20,Expert,76,37
Emergency,38,Very High,Panic Reaction,High,36,Intermediate,128,18
Exam,13,Very High,Hesitation,Low,31,Intermediate,110,9
Emergency,50,High,Logical Answer,High,19,Expert,134,19
Emergency,20,Medium,Structured Answer,High,28,Beginner,123,8
Exam,26,Low,Panic Reaction,Medium,38,Expert,98,11
Exam,28,Low,Logical Answer,Medium,33,Intermediate,94,25
Exam,18,Very High,Hesitation,Low,35,Expert,138,14
Exam,25,High,Confident Response,High,23,Beginner,121,14
Exam,37,Medium,Logical Answer,High,25,Beginner,125,8
Interview,32,Low,Call for Help,Medium,26,Intermediate,71,26
Exam,27,Very High,Guess Answer,High,35,Intermediate,98,27
Exam,11,Very High,Call for Help,High,31,Intermediate,71,6
Interview,40,Low,Panic Reaction,Low,39,Expert,119,6
Emergency,47,Low,Quick Decision,Low,23,Beginner,138,28
Emergency,52,Low,Panic Reaction,Medium,29,Intermediate,74,13
Exam,26,Low,Structured Answer,High,18,Expert,75,9
Exam,52,High,Logical Answer,High,19,Expert,86,40
Emergency,49,Low,Panic Reaction,Low,29,Expert,105,15
Interview,49,Very High,Confident Response,Low,19,Beginner,127,20
Emergency,30,Very High,Structured Answer,Low,26,Beginner,104,16
Exam,13,Medium,Quick Decision,High,29,Intermediate,93,12
Exam,58,Low,Quick Decision,Low,39,Expert,137,21
Emergency,58,Very High,Quick Decision,Low,25,Intermediate,122,44
Exam,58,Low,Hesitation,High,35,Beginner,94,28
Interview,59,Very High,Panic Reaction,Medium,22,Expert,138,14
Exam,13,Medium,Logical Answer,High,28,Intermediate,133,12
Interview,17,Very High,Confident Response,High,29,Beginner,83,7
Interview,60,Medium,Panic Reaction,Low,31,Expert,129,50
Exam,59,High,Confident Response,High,19,Expert,93,58
Interview,43,Medium,Structured Answer,High,22,Expert,89,40
Interview,28,Low,Structured Answer,High,32,Expert,140,6
Interview,34,Low,Guess Answer,High,32,Intermediate,108,32
Exam,42,High,Logical Answer,Medium,25,Beginner,103,37
Exam,28,Low,Confident Response,High,23,Intermediate,136,5
Emergency,42,Very High,Confident Response,Medium,20,Intermediate,136,26
Emergency,31,Low,Logical Answer,High,27,Expert,128,21
Interview,48,Medium,Panic Reaction,Low,21,Beginner,94,39
Emergency,49,High,Confident Response,High,31,Expert,99,15
Emergency,42,Low,Logical Answer,Low,34,Expert,91,24
Emergency,50,Low,Quick Decision,Medium,29,Beginner,121,38
Interview,20,Low,Structured Answer,Medium,26,Beginner,93,13
Exam,50,Medium,Call for Help,Medium,19,Intermediate,114,35
Emergency,50,High,Confident Response,High,35,Beginner,114,48
Emergency,27,Low,Quick Decision,Low,23,Expert,96,17
Interview,50,Medium,Call for Help,Low,18,Intermediate,81,17
Interview,36,High,Hesitation,Medium,20,Expert,140,26
Emergency,46,Low,Call for Help,Low,32,Expert,124,28
Exam,47,Very High,Call for Help,High,22,Beginner,122,37
Exam,17,Low,Structured Answer,High,29,Beginner,132,13
Interview,41,Very High,Confident Response,High,18,Expert,120,25
Exam,23,High,Panic Reaction,Medium,26,Expert,80,23
Interview,19,Medium,Logical Answer,High,28,Expert,92,18
Interview,47,Very High,Guess Answer,Low,37,Beginner,99,34
Emergency,37,Medium,Guess Answer,Medium,21,Expert,94,12
Exam,19,High,Structured Answer,Medium,26,Beginner,101,19
Exam,27,Medium,Guess Answer,Medium,29,Expert,83,22
Exam,57,Very High,Confident Response,Medium,28,Intermediate,125,7
Emergency,10,Very High,Call for Help,Medium,27,Intermediate,80,10
Exam,34,High,Confident Response,Medium,20,Intermediate,122,34
Interview,43,Low,Logical Answer,Low,36,Intermediate,101,18
Exam,44,Very High,Logical Answer,High,21,Expert,128,28
Interview,47,High,Quick Decision,Low,32,Intermediate,96,21
Exam,49,Low,Quick Decision,Medium,29,Intermediate,73,42
Exam,49,Very High,Quick Decision,Medium,21,Expert,72,35
Emergency,51,Low,Guess Answer,Low,30,Expert,91,26
Exam,60,Very High,Hesitation,High,37,Beginner,121,31
Exam,24,Medium,Logical Answer,High,27,Intermediate,78,10
Emergency,51,Very High,Guess Answer,Low,31,Expert,139,19
Emergency,34,Very High,Logical Answer,Medium,25,Intermediate,80,16
Interview,17,Very High,Hesitation,Medium,28,Beginner,140,14
Interview,20,High,Logical Answer,High,22,Intermediate,94,10
Exam,57,High,Confident Response,Low,37,Intermediate,128,21
Interview,24,Medium,Call for Help,Medium,21,Intermediate,110,24
Interview,19,Very High,Logical Answer,Medium,26,Beginner,79,15
Exam,24,High,Guess Answer,Low,37,Beginner,103,8
Interview,36,Medium,Panic Reaction,Medium,38,Expert,99,9
Interview,46,High,Confident Response,Low,32,Expert,90,14
Exam,53,Medium,Quick Decision,Medium,25,Expert,121,46
Interview,59,Low,Panic Reaction,High,37,Intermediate,91,41
Emergency,57,Very High,Panic Reaction,Low,36,Intermediate,90,20
Exam,25,High,Hesitation,Low,28,Beginner,99,17
Exam,41,Very High,Hesitation,High,30,Expert,97,13
Exam,27,High,Structured Answer,Medium,24,Expert,79,12
Emergency,25,Medium,Guess Answer,High,31,Expert,94,6
Emergency,48,Low,Logical Answer,Medium,22,Beginner,83,34
