Property_ID,Arrondissement,Property_Type,Size_sqm,Rooms,Floor,Year_Built,Condition,Distance_to_Center_km,Price_EUR
P10000,4.0,Apartment,117.0,4.0,7.0,1870.0,Renovated,2.76,2270802.89
P10001,8.0,Studio,89.0,3.0,3.0,1953.0,Good,10.77,1637076.12
P10002,4.0,[Apartment],164.0,5.0,5.0,1979.0,Needs Renovation,3.14,3220782.59
P10003,2.0,Apartment	,35.0,1.0,5.0,-1011.5,New,4.72,407781.74
P10004,7.0,Studio,73.0,2.0,2.0,1957.0,needs renovation,7.96,624879.12
P10005,18.0,Studio,1990.0,1.0,2.0,1984.0,Needs Renovation,2.97,667477.59
P10006,8.0,studio,181.0,2.0,1.0,1858.0,Renovated,0.73,3508979.39
P10007,1.0, Studio,144.0,4.0,6.0,2021.0,Needs Renovation ,7.68,1568492.01
P10008,11.0,Penthouse,189.0,3.0,3.0,1899.0,Good,10.11,3574338.67
P10009,7.0,Penthouse,16.0,2.0,1.0,1893.0,New,14.12,236998.46
P10010,3.0,Loft,28.0,4.0,7.0,20230.0,New,8.33,-1975415.91
P10011,200.0,Penthouse,38.0,2.0,8.0,2006.0,Renovated,12.13,744156.42
P10012,-10.0,Loft,79.0,1.0,90.0,1978.0,New,3.38,1567568.82
P10013,13.0, Apartment,77.0,3.0,7.0,2012.0,Renovated,11.96,cinco punto tres
P10014,20.0,Penthouse,137.0,5.0,9.0,1890.0,Good,13.77,2618838.64
P10015,3.0,Apartment,86.0,4.0,90.0,2000.0,Good,10.2,1029486.76
P10016,10.0,Apartment,51.0,-2.5,5.0,1884.0,NEEDS RENOVATION,7.35,na
P10017,4.0,Loft,115.0,3.0,9.0,1991.0,  Renovated  ,7.66,1969883.37
P10018,15.0,Penthouse,151.0,2.0,2.0,1912.0,	Good	,13.49,39508318.199999996
P10019,12.0,Penthouse,66.0,50.0,4.0,2000.0, New ,9.26,na
P10020,9.0,Apartment,157.0,3.0,6.0,1935.0,Good,13.27,1638567.35
P10021,18.0,Studio,184.0,5.0,4.0,1983.0,Good,7.12,-22717282.96
P10022,15.0,Loft,122.0,4.0,9.0,1941.0,Renovated,5.67,1585770.56
P10023,18.0,*APARTMENT*,143.0,1.0,nueve,1965.0,Renovated,5.61,-1975415.91
[P10024],2.0,Studio,cinco punto tres,3.0,4.0,1900.0,New,4.41,221151.84
P10025,11.0,Loft,-99.5,3.0,doce,-11632.25,Renovated,1.44,1971820.24
P10026,3.0,Studio,66.0,4.0,1.0,1980.0,Renovated,4.86,727411.58
P10027,7.0,Loft,127.0,1.0,1.0,1979.0,Needs Renovation,6.46,1422574.27
P10028,15.0,Studio,101.0,50.0,0.0,1996.0,Renovated,10.37,39508318.199999996
P10029,5.0,Studio,67.0,4.0,5.0,2009.0,Renovated,9.09,896017.66
P10030,19.0,Loft,197.0,3.0,0.0,1887.0,Needs Renovation,5.83,2449863.13
P10031,12.0,Studio,130.0,2.0,0.0,1973.0,Good,7.87,2028306.35
P10032,17.0,Loft,107.0,3.0,3.0,1996.0,New,10.81,1614706.54
P10033,2.0,Apartment,161.0,4.0,3.0,20230.0,Good,6.26,2534473.83
P10034,6.0,Loft,53.0,2.0,8.0,2000.0,New,8.35,956783.63
P10035,13.0,Loft,56.0,3.0,9.0,1961.0,Needs Renovation,8.55,601585.61
P10036,17.0,Penthouse,74.0,1.0,4.0,1886.0,New,13.3,806764.83
P10037,4.0,Penthouse,23.0,1.0,2.0,1997.0,Renovated,13.36,280381.84
P10038,4.0,Penthouse,134.0,1.0,-4.5,-1011.5,Needs Renovation,13.53,2104386.89
P10039,200.0,Loft,98.0,3.0,8.0,1948.0,New,14.62,1221804.53
P10040,200.0,Studio,160.0,2.0,2.0,2018.0,New,3.05,2212378.41
P10041,10.0, Studio,82.0,1.0,3.0,-1011.5,[Good],11.29,1141991.42
P10042,12.0,Studio,-99.5,1.0,-4.5,1968.0,New,4.13,2307166.76
P10043,20.0,Penthouse,172.0,5.0,7.0,1876.0,Needs Renovation,6.8,2380635.8
	P10044	,1.0,Apartment,35.0,-2.5,0.0,1910.0,Renovated,7.74,522299.63
P10045,10.0,Studio,18.0,3.0,0.0,2021.0,New,14.14,310007.67
P10046,8.0,Apartment,60.0,5.0,8.0,1886.0,New,13.96,1116115.7
P10047,16.0,Apartment,60.0,5.0,0.0,1965.0,Good,149.9,892050.58
P10048,5.0,Loft,174.0,1.0,1.0,1874.0,Good,6.22,seven
P10049,9.0,Loft,68.0,2.0,7.0,1963.0,Good,9.42,1302893.74
P10050,18.0,Studio,100.0,2.0,9.0,1979.0,Renovated,5.18,1104996.38
P10051,13.0, Studio ,118.0,-2.5,5.0,1888.0,Needs Renovation,4.76,1137455.81
P10052,17.0,	Loft	,1990.0,3.0,7.0,1862.0,New,1.68,442979.33
P10053,8.0,Studio,149.0,1.0,90.0,-11632.25,New,1.53,2314675.21
P10054,11.0,loft,158.0,4.0,1.0,-1011.5,Good,6.86,2945026.11
P10055,200.0,Studio,100.0,3.0,5.0,1907.0,New,12.98,1358717.62
P10056,3.0,Apartment,63.0,4.0,5.0,1950.0,	Good	,8.07,533359.06
P10057,3.0,Apartment,67.0,4.0,4.0,20230.0,Renovated,1.74,709520.11
P10058,3.0,Studio,123.0,4.0,2.0,1904.0,Renovated,-7.495,1591158.36
P10059,na,Studio,158.0,5.0,90.0,2007.0,	Good	,1.1,3102241.9
  P10060  ,19.0,Loft,134.0,3.0,6.0,1939.0,Good,0.87,1777866.04
P10061,16.0, Penthouse ,131.0,1.0,0.0,1907.0,Good,13.77,2130321.84
P10062,4.0,Apartment,48.0,1.0,90.0,1978.0,	Needs Renovation	,149.9,764273.69
P10063 ,12.0,Loft	,83.0,N/A,9.0,1993.0,Needs Renovation,2.8,1081921.66
P10064,15.0,Apartment,100.0,1.0,4.0,1896.0,New,1.09,1210255.6
P10065,2.0,APARTMENT,158.0,2.0,4.0,1888.0,Renovated,5.52,2711338.95
P10066,4.0,  Studio  ,1990.0,,4.0,1949.0,Good,1.16,1769873.14
P10067,7.0,Loft,152.0,2.0,0.0,1918.0,[Good],10.42,2918587.83
P10068,14.0,Studio ,30.0,50.0,3.0,2001.0,Renovated,10.32,249544.07
P10069,15.0,Studio,177.0,4.0,2.0,2020.0,New,14.15,1688934.75
	P10070	,15.0,Apartment,81.0,1.0,9.0,1892.0,New,3.34,1582277.23
P10071,18.0,Apartment,155.0,4.0,1.0,1884.0,New,5.38,1427447.08
P10072,8.0,Studio,104.0,5.0,9.0,2011.0,Needs Renovation,nueve,1886404.39
P10073,16.0,Loft,149.0,4.0,1.0,1924.0,new,13.22,2430887.96
P10074,13.0,Apartment,178.0,1.0,8.0,2013.0,Good,3.07,-1975415.91
P10075,13.0,Apartment,1990.0,3.0,3.0,1945.0,Needs Renovation,5.44,3301086.24
P10076,9.0,Loft,51.0,-2.5,6.0,1948.0,  Renovated  ,2.0,39508318.199999996
P10077,14.0,Loft,31.0,1.0,8.0,1935.0,Good,4.82,435953.88
P10078,7.0,Penthouse,33.0,1.0,8.0,20230.0,Good,1.82,285180.18
P10079,2.0,Apartment,42.0,4.0,4.0,1918.0,  Renovated  ,4.75,625012.7
P10080,225.31,Apartment,39.0,50.0,3.0,1902.0,Needs Renovation,11.98,626738.64
P10081,17.0,Studio,1990.0,5.0,9.0,2016.0, Needs Renovation,14.94,1361151.6
	P10082	,200.0,Apartment,1990.0,5.0,1.0,1925.0,Good,10.48,2290842.03
P10083,3.0,Apartment,159.0,5.0,7.0,2019.0,Good,6.25,2871821.3
P10084,13.0,Apartment,41.0,2.0,4.0,2015.0,Good,149.9,400129.57
P10085,19.0,Apartment,123.0,1.0,0.0,1920.0, Good,14.8,2283411.31
P10086,14.0,Penthouse,146.0,4.0,90.0,1957.0,Renovated,8.6,1827206.79
 P10087,7.0,Penthouse,105.0,2.0,6.0,1975.0,Good,7.64,1982006.53
P10088,9.0,studio,155.0,2.0,9.0,1997.0,Good,2.22,2111708.79
P10089 ,10.0,Loft,75.0,1.0,2.0,20230.0,Renovated,14.45,1269790.49
P10090,3.0,Apartment,127.0,1.0,5.0,-1011.5,good,14.47,33991301.02
P10091,20.0,Apartment,58.0,5.0,4.0,1929.0,New,8.15,1139035.66
P10092,18.0,Studio,178.0,-2.5,8.0,1995.0,Renovated,2.91,2909398.16
P10093,5.0, Apartment,63.0,1.0,90.0,1852.0,New,149.9,978433.91
P10094,8.0,Penthouse,199.0,3.0,7.0,1951.0,Renovated,7.11,2262940.1
P10095,6.0,Loft,170.0,5.0,3.0,1939.0,Renovated,6.13,1925857.61
P10096,20.0,Loft ,74.0,2.0,4.0,1890.0,Renovated,4.27,828152.88
P10097,4.0,Studio,169.0,1.0,4.0,-1011.5,Renovated,2.43,1919360.39
P10098,4.0,	Apartment	,49.0,5.0,2.0,1896.0,Good,13.83,945032.71
P10099,9.0,Penthouse,24.0,2.0,4.0,1968.0,Good,-7.495,350857.31
  P10100  ,11.0,Studio,132.0,-2.5,0.0,1860.0,  Renovated  ,9.11,1816906.21
P10101,17.0,Loft	,77.0,1.0,-4.5,2010.0,[Renovated],7.3,1512200.9
P10102,-10.0,Apartment,113.0,1.0,6.0,1855.0,renovated,10.53,922539.18
*P10103*,9.0,Apartment,109.0,5.0,4.0,1872.0,[New],-7.495,-1975415.91
P10104,11.0,Studio,179.0,2.0,0.0,1934.0, New,7.03,3257042.6
P10105,203.28,Loft,-99.5,1.0,3.0,1962.0,Needs Renovation,11.48,2411627.93
P10106,-10.0,Apartment,48.0,4.0,6.0,20230.0,New,-,538755.35
P10107,3.0,Studio,196.0,3.0,90.0,1903.0,New,twenty,-1975415.91
P10108,12.0,Studio,71.0,1.0,6.0,1934.0,Needs Renovation,9.77,682180.97
P10109,5.0,	Apartment	,NULL,3.0,1.0,-1011.5,Renovated,9.32,1676565.33
P10110,12.0,Apartment,96.0,3.0,1.0,1901.0,Renovated,8.44,872834.41
P10111,7.0,Studio	,seven,4.0,9.0,1900.0,New,10.62,1076522.75
P10112,12.0,Loft,43.0,4.0,dieciocho,1923.0,Good,11.65,581022.95
P10113,8.0,Studio,98.0,5.0,4.0,veinte,Good,-7.495,1936518.31
P10114,14.0, Apartment ,129.0,1.0,5.0,1993.0,Good,9.79,1744264.46
P10115,11.0,Loft,118.0,4.0,2.0,1945.0,  Good  ,7.37,1433464.87
P10116,9.0,Studio,107.0,2.0,2.0,1996.0, Good ,12.42,1628885.05
P10117,13.0,Apartment,106.0,2.0,4.0,1919.0, Needs Renovation,2.25,1073157.34
P10118,8.0,Studio,26.0,2.0,seven,1927.0,[Needs Renovation],5.29,486995.79
P10119,12.0,Penthouse,169.0,1.0,8.0,1905.0,Needs Renovation ,13.17,1539165.31
P10120,8.0,Apartment,77.0,5.0,3.0,1850.0,Good,1.73,618397.8
P10121,13.0,Penthouse,113.0,5.0,7.0,1863.0,Renovated,9.46,39508318.199999996
 P10122,3.0,Penthouse,-99.5,2.0,7.0,1964.0,Renovated,-7.495,1561207.92
P10123,17.0,Loft,-99.5,3.0,1.0,1887.0,Renovated,8.22,1798170.23
P10124,1.0,Apartment,29.0,1.0,9.0,1888.0,GOOD,5.17,488617.01
P10125,6.0,Penthouse,100.0,2.0,8.0,1994.0,New,5.47,1442402.68
  P10126  ,4.0,Loft,39.0,4.0,8.0,1958.0,Renovated,7.45,39508318.199999996
[P10127],-10.0,Loft,125.0,2.0,7.0,1962.0,New,8.68,39508318.199999996
P10128,13.0,Studio,56.0,1.0,3.0,20230.0,Renovated,9.31,674764.27
